Log for GloVeWikiIterationNoHyp of discriminative attribute detection model
logged on 21/02/2018 13:37:10
-------------------------------------------------------------------------------
Result for 0.0: 0.5189249356602077
Result for 0.01: 0.5209400834502308
Result for 0.02: 0.5278295027602498
Result for 0.03: 0.5307547645615187
Result for 0.04: 0.5396136975827763
Result for 0.05: 0.5417264462352702
Result for 0.060000000000000005: 0.5439950560248578
Result for 0.07: 0.5476774051761596
Result for 0.08: 0.5467466909299552
Result for 0.09: 0.5484252778921368
Result for 0.09999999999999999: 0.5456502017598466
Result for 0.10999999999999999: 0.5464941198435185
Result for 0.11999999999999998: 0.5471112813440219
Result for 0.12999999999999998: 0.5396358399502095
Result for 0.13999999999999999: 0.5435843257176406
Result for 0.15: 0.5456042302965676
Result for 0.16: 0.5436511138003675
Result for 0.17: 0.5436163962579654
Result for 0.18000000000000002: 0.541317774754654
Result for 0.19000000000000003: 0.5383979569129039
Result for 0.20000000000000004: 0.5368349815494518
Result for 0.21000000000000005: 0.5353965314693166
Result for 0.22000000000000006: 0.5316361920961012
Result for 0.23000000000000007: 0.5303735580394034
Result for 0.24000000000000007: 0.5316770727262983
Result for 0.25000000000000006: 0.531330289179228
Result for 0.26000000000000006: 0.5309716887181676
Result for 0.2700000000000001: 0.5289631219452846
Result for 0.2800000000000001: 0.5289424804360403
Result for 0.2900000000000001: 0.5279038718291056
Result for 0.3000000000000001: 0.5275261545974235
Result for 0.3100000000000001: 0.5268213054802307
Result for 0.3200000000000001: 0.524716581154567
Result for 0.3300000000000001: 0.5223112721243928
Result for 0.34000000000000014: 0.5209446848109186
Result for 0.35000000000000014: 0.5188343236919087
Result for 0.36000000000000015: 0.5177726868373238
Result for 0.37000000000000016: 0.5170828344867204
Result for 0.38000000000000017: 0.5170212180422159
Result for 0.3900000000000002: 0.5162640702037272
Result for 0.4000000000000002: 0.5155698012357091
Result for 0.4100000000000002: 0.5144918283963228
Result for 0.4200000000000002: 0.5154305545688559
Result for 0.4300000000000002: 0.5150451910041991
Result for 0.4400000000000002: 0.5143460751189706
Result for 0.45000000000000023: 0.5125553146689003
Result for 0.46000000000000024: 0.5121636194049257
Result for 0.47000000000000025: 0.5121636194049257
Result for 0.48000000000000026: 0.5121636194049257
Result for 0.49000000000000027: 0.5124745287810952
Result for 0.5000000000000002: 0.5117704470037088
Result for 0.5100000000000002: 0.5103599410980217
Result for 0.5200000000000002: 0.5103599410980217
Result for 0.5300000000000002: 0.5099629739375102
Result for 0.5400000000000003: 0.5099629739375102
Result for 0.5500000000000003: 0.5102724729021217
Result for 0.5600000000000003: 0.5102724729021217
Result for 0.5700000000000003: 0.5102724729021217
Result for 0.5800000000000003: 0.5102724729021217
Result for 0.5900000000000003: 0.5095645095645096
Result for 0.6000000000000003: 0.5095645095645096
Result for 0.6100000000000003: 0.5095645095645096
Result for 0.6200000000000003: 0.5095645095645096
Result for 0.6300000000000003: 0.5088557563667027
Result for 0.6400000000000003: 0.5088557563667027
Result for 0.6500000000000004: 0.5088557563667027
Result for 0.6600000000000004: 0.5088557563667027
Result for 0.6700000000000004: 0.5088557563667027
Result for 0.6800000000000004: 0.5091645422428868
Result for 0.6900000000000004: 0.5091645422428868
Result for 0.7000000000000004: 0.5091645422428868
Result for 0.7100000000000004: 0.5091645422428868
Result for 0.7200000000000004: 0.5091645422428868
Result for 0.7300000000000004: 0.5091645422428868
Result for 0.7400000000000004: 0.5091645422428868
Result for 0.7500000000000004: 0.5091645422428868
Result for 0.7600000000000005: 0.5091645422428868
Result for 0.7700000000000005: 0.5091645422428868
Result for 0.7800000000000005: 0.5091645422428868
Result for 0.7900000000000005: 0.5091645422428868
Result for 0.8000000000000005: 0.5091645422428868
Result for 0.8100000000000005: 0.5091645422428868
Result for 0.8200000000000005: 0.5091645422428868
Result for 0.8300000000000005: 0.5091645422428868
Result for 0.8400000000000005: 0.5091645422428868
Result for 0.8500000000000005: 0.5091645422428868
Result for 0.8600000000000005: 0.5091645422428868
Result for 0.8700000000000006: 0.5091645422428868
Result for 0.8800000000000006: 0.5091645422428868
Result for 0.8900000000000006: 0.5091645422428868
Result for 0.9000000000000006: 0.5091645422428868
Result for 0.9100000000000006: 0.5091645422428868
Result for 0.9200000000000006: 0.5091645422428868
Result for 0.9300000000000006: 0.5091645422428868
Result for 0.9400000000000006: 0.5091645422428868
Result for 0.9500000000000006: 0.5091645422428868
Result for 0.9600000000000006: 0.5091645422428868
Result for 0.9700000000000006: 0.5091645422428868
Result for 0.9800000000000006: 0.5091645422428868
Result for 0.9900000000000007: 0.5091645422428868

Best performing treshold: 0.09
Best result: 0.5484252778921368
