Log for LSAWikiIterationNoHyp of discriminative attribute detection model
logged on 21/02/2018 02:39:36
-------------------------------------------------------------------------------
Result for 0.0: 0.5003396570988516
Result for 0.01: 0.5050573389133077
Result for 0.02: 0.5118081988444405
Result for 0.03: 0.510311696460247
Result for 0.04: 0.5185185185185185
Result for 0.05: 0.520231520815633
Result for 0.060000000000000005: 0.5259726094525616
Result for 0.07: 0.5274678763997723
Result for 0.08: 0.5272394149322567
Result for 0.09: 0.5298635302079526
Result for 0.09999999999999999: 0.5339196433328579
Result for 0.10999999999999999: 0.5372839737224708
Result for 0.11999999999999998: 0.5427642210730446
Result for 0.12999999999999998: 0.5395280069063946
Result for 0.13999999999999999: 0.5394848932303499
Result for 0.15: 0.5423756762160737
Result for 0.16: 0.5407156945618483
Result for 0.17: 0.5429406569373765
Result for 0.18000000000000002: 0.5413676023666658
Result for 0.19000000000000003: 0.5395925547459901
Result for 0.20000000000000004: 0.5384615384615385
Result for 0.21000000000000005: 0.5379325981655159
Result for 0.22000000000000006: 0.5370967825461024
Result for 0.23000000000000007: 0.5329668269194711
Result for 0.24000000000000007: 0.5349379597533062
Result for 0.25000000000000006: 0.5339622641509434
Result for 0.26000000000000006: 0.5332693494900971
Result for 0.2700000000000001: 0.532252761509848
Result for 0.2800000000000001: 0.5308792675948886
Result for 0.2900000000000001: 0.5301847052161799
Result for 0.3000000000000001: 0.5304503367316823
Result for 0.3100000000000001: 0.5294221907125133
Result for 0.3200000000000001: 0.5293880287005439
Result for 0.3300000000000001: 0.5279935452108747
Result for 0.34000000000000014: 0.5259504874774712
Result for 0.35000000000000014: 0.5241694759068862
Result for 0.36000000000000015: 0.523483050372828
Result for 0.37000000000000016: 0.5227958880161018
Result for 0.38000000000000017: 0.5227958880161018
Result for 0.3900000000000002: 0.5220522470209429
Result for 0.4000000000000002: 0.5206713286713287
Result for 0.4100000000000002: 0.5202952029520296
Result for 0.4200000000000002: 0.520926235139662
Result for 0.4300000000000002: 0.5198535572120894
Result for 0.4400000000000002: 0.5198535572120894
Result for 0.45000000000000023: 0.5184622716414178
Result for 0.46000000000000024: 0.5177654886373455
Result for 0.47000000000000025: 0.5180793191105337
Result for 0.48000000000000026: 0.517381412149477
Result for 0.49000000000000027: 0.5159833000997008
Result for 0.5000000000000002: 0.5152830913587194
Result for 0.5100000000000002: 0.5117704470037088
Result for 0.5200000000000002: 0.5110655850638306
Result for 0.5300000000000002: 0.5103599410980217
Result for 0.5400000000000003: 0.5103599410980217
Result for 0.5500000000000003: 0.5099629739375102
Result for 0.5600000000000003: 0.5099629739375102
Result for 0.5700000000000003: 0.5092553856184292
Result for 0.5800000000000003: 0.5092553856184292
Result for 0.5900000000000003: 0.5088557563667027
Result for 0.6000000000000003: 0.5088557563667027
Result for 0.6100000000000003: 0.5088557563667027
Result for 0.6200000000000003: 0.5088557563667027
Result for 0.6300000000000003: 0.5088557563667027
Result for 0.6400000000000003: 0.5088557563667027
Result for 0.6500000000000004: 0.5088557563667027
Result for 0.6600000000000004: 0.5088557563667027
Result for 0.6700000000000004: 0.5088557563667027
Result for 0.6800000000000004: 0.5088557563667027
Result for 0.6900000000000004: 0.5088557563667027
Result for 0.7000000000000004: 0.5088557563667027
Result for 0.7100000000000004: 0.5088557563667027
Result for 0.7200000000000004: 0.5088557563667027
Result for 0.7300000000000004: 0.5088557563667027
Result for 0.7400000000000004: 0.5088557563667027
Result for 0.7500000000000004: 0.5088557563667027
Result for 0.7600000000000005: 0.5091645422428868
Result for 0.7700000000000005: 0.5091645422428868
Result for 0.7800000000000005: 0.5091645422428868
Result for 0.7900000000000005: 0.5091645422428868
Result for 0.8000000000000005: 0.5091645422428868
Result for 0.8100000000000005: 0.5091645422428868
Result for 0.8200000000000005: 0.5091645422428868
Result for 0.8300000000000005: 0.5091645422428868
Result for 0.8400000000000005: 0.5091645422428868
Result for 0.8500000000000005: 0.5091645422428868
Result for 0.8600000000000005: 0.5091645422428868
Result for 0.8700000000000006: 0.5091645422428868
Result for 0.8800000000000006: 0.5091645422428868
Result for 0.8900000000000006: 0.5091645422428868
Result for 0.9000000000000006: 0.5091645422428868
Result for 0.9100000000000006: 0.5091645422428868
Result for 0.9200000000000006: 0.5091645422428868
Result for 0.9300000000000006: 0.5091645422428868
Result for 0.9400000000000006: 0.5091645422428868
Result for 0.9500000000000006: 0.5091645422428868
Result for 0.9600000000000006: 0.5091645422428868
Result for 0.9700000000000006: 0.5091645422428868
Result for 0.9800000000000006: 0.5091645422428868
Result for 0.9900000000000007: 0.5091645422428868

Best performing treshold: 0.17
Best result: 0.5429406569373765
