Log for W2VGnewsIterationNoAbs of discriminative attribute detection model
logged on 04/02/2018 13:30:36
-------------------------------------------------------------------------------
Result for 0.0: 0.5151515151515151
Result for 0.01: 0.5303091128061019
Result for 0.02: 0.535524376962009
Result for 0.03: 0.5319700460829493
Result for 0.04: 0.5313926849196559
Result for 0.05: 0.5196462667068636
Result for 0.060000000000000005: 0.5232323232323233
Result for 0.07: 0.5287541234014203
Result for 0.08: 0.5378776725393009
Result for 0.09: 0.5342203755914988
Result for 0.09999999999999999: 0.5372964000414981
Result for 0.10999999999999999: 0.5392940309259353
Result for 0.11999999999999998: 0.5477093054077138
Result for 0.12999999999999998: 0.5485308264839412
Result for 0.13999999999999999: 0.5493227145583575
Result for 0.15: 0.5467561293820633
Result for 0.16: 0.5534119328331547
Result for 0.17: 0.5531724754244862
Result for 0.18000000000000002: 0.552192116010096
Result for 0.19000000000000003: 0.550171967750128
Result for 0.20000000000000004: 0.550171967750128
Result for 0.21000000000000005: 0.549131701003128
Result for 0.22000000000000006: 0.5453679488733785
Result for 0.23000000000000007: 0.5399305555555556
Result for 0.24000000000000007: 0.5371959725185664
Result for 0.25000000000000006: 0.5344506517690876
Result for 0.26000000000000006: 0.5376509177193105
Result for 0.2700000000000001: 0.5321054380717497
Result for 0.2800000000000001: 0.5321054380717497
Result for 0.2900000000000001: 0.5321054380717497
Result for 0.3000000000000001: 0.5336944100249135
Result for 0.3100000000000001: 0.5336944100249135
Result for 0.3200000000000001: 0.5308992704826039
Result for 0.3300000000000001: 0.532482583330041
Result for 0.34000000000000014: 0.532482583330041
Result for 0.35000000000000014: 0.5268465090075221
Result for 0.36000000000000015: 0.5268465090075221
Result for 0.37000000000000016: 0.5268465090075221
Result for 0.38000000000000017: 0.5268465090075221
Result for 0.3900000000000002: 0.5240110006346519
Result for 0.4000000000000002: 0.5255769205308243
Result for 0.4100000000000002: 0.5255769205308243
Result for 0.4200000000000002: 0.5255769205308243
Result for 0.4300000000000002: 0.5255769205308243
Result for 0.4400000000000002: 0.5255769205308243
Result for 0.45000000000000023: 0.5255769205308243
Result for 0.46000000000000024: 0.5255769205308243
Result for 0.47000000000000025: 0.5271428823955737
Result for 0.48000000000000026: 0.5271428823955737
Result for 0.49000000000000027: 0.5271428823955737
Result for 0.5000000000000002: 0.5271428823955737
Result for 0.5100000000000002: 0.5271428823955737
Result for 0.5200000000000002: 0.5271428823955737
Result for 0.5300000000000002: 0.5271428823955737
Result for 0.5400000000000003: 0.5271428823955737
Result for 0.5500000000000003: 0.5271428823955737
Result for 0.5600000000000003: 0.5271428823955737
Result for 0.5700000000000003: 0.5271428823955737
Result for 0.5800000000000003: 0.5271428823955737
Result for 0.5900000000000003: 0.5271428823955737
Result for 0.6000000000000003: 0.5271428823955737
Result for 0.6100000000000003: 0.5271428823955737
Result for 0.6200000000000003: 0.5271428823955737
Result for 0.6300000000000003: 0.5271428823955737
Result for 0.6400000000000003: 0.5271428823955737
Result for 0.6500000000000004: 0.5271428823955737
Result for 0.6600000000000004: 0.5271428823955737
Result for 0.6700000000000004: 0.5271428823955737
Result for 0.6800000000000004: 0.5271428823955737
Result for 0.6900000000000004: 0.5271428823955737
Result for 0.7000000000000004: 0.5271428823955737
Result for 0.7100000000000004: 0.5271428823955737
Result for 0.7200000000000004: 0.5271428823955737
Result for 0.7300000000000004: 0.5271428823955737
Result for 0.7400000000000004: 0.5271428823955737
Result for 0.7500000000000004: 0.5271428823955737
Result for 0.7600000000000005: 0.5271428823955737
Result for 0.7700000000000005: 0.5271428823955737
Result for 0.7800000000000005: 0.5271428823955737
Result for 0.7900000000000005: 0.5271428823955737
Result for 0.8000000000000005: 0.5271428823955737
Result for 0.8100000000000005: 0.5271428823955737
Result for 0.8200000000000005: 0.5271428823955737
Result for 0.8300000000000005: 0.5271428823955737
Result for 0.8400000000000005: 0.5271428823955737
Result for 0.8500000000000005: 0.5271428823955737
Result for 0.8600000000000005: 0.5271428823955737
Result for 0.8700000000000006: 0.5271428823955737
Result for 0.8800000000000006: 0.5271428823955737
Result for 0.8900000000000006: 0.5271428823955737
Result for 0.9000000000000006: 0.5271428823955737
Result for 0.9100000000000006: 0.5271428823955737
Result for 0.9200000000000006: 0.5271428823955737
Result for 0.9300000000000006: 0.5271428823955737
Result for 0.9400000000000006: 0.5271428823955737
Result for 0.9500000000000006: 0.5271428823955737
Result for 0.9600000000000006: 0.5271428823955737
Result for 0.9700000000000006: 0.5271428823955737
Result for 0.9800000000000006: 0.5271428823955737
Result for 0.9900000000000007: 0.5271428823955737

Best performing treshold: 0.16
Best result: 0.5534119328331547
