Log for W2VGnewsIterationNoHyp of discriminative attribute detection model
logged on 20/02/2018 23:20:39
-------------------------------------------------------------------------------
Result for 0.0: 0.5400738412887227
Result for 0.01: 0.548058751010225
Result for 0.02: 0.5497290234132339
Result for 0.03: 0.5599030103879584
Result for 0.04: 0.5577434873723635
Result for 0.05: 0.5577012676424001
Result for 0.060000000000000005: 0.559893252001525
Result for 0.07: 0.561999398594899
Result for 0.08: 0.5642984774293023
Result for 0.09: 0.5631748035476855
Result for 0.09999999999999999: 0.5635605701061243
Result for 0.10999999999999999: 0.5659434102222554
Result for 0.11999999999999998: 0.5619338362263386
Result for 0.12999999999999998: 0.5593469206959915
Result for 0.13999999999999999: 0.5570323216665748
Result for 0.15: 0.5491204055600875
Result for 0.16: 0.5464891661711854
Result for 0.17: 0.5460573329716545
Result for 0.18000000000000002: 0.5416619981325864
Result for 0.19000000000000003: 0.5372063311388924
Result for 0.20000000000000004: 0.5346119718790526
Result for 0.21000000000000005: 0.5329444681557357
Result for 0.22000000000000006: 0.5309217137115191
Result for 0.23000000000000007: 0.5275550473191472
Result for 0.24000000000000007: 0.529484882828209
Result for 0.25000000000000006: 0.5277487413090386
Result for 0.26000000000000006: 0.5246745906791929
Result for 0.2700000000000001: 0.523582897076873
Result for 0.2800000000000001: 0.5225308641975308
Result for 0.2900000000000001: 0.5211029565721588
Result for 0.3000000000000001: 0.5207299625549463
Result for 0.3100000000000001: 0.5199797489236773
Result for 0.3200000000000001: 0.5196025188112703
Result for 0.3300000000000001: 0.518148122246311
Result for 0.34000000000000014: 0.5174516992838972
Result for 0.35000000000000014: 0.5153578541291394
Result for 0.36000000000000015: 0.5146583742658161
Result for 0.37000000000000016: 0.5149707128614157
Result for 0.38000000000000017: 0.5145821116973038
Result for 0.3900000000000002: 0.5138803592770009
Result for 0.4000000000000002: 0.5138803592770009
Result for 0.4100000000000002: 0.5138803592770009
Result for 0.4200000000000002: 0.5124745287810952
Result for 0.4300000000000002: 0.5124745287810952
Result for 0.4400000000000002: 0.5124745287810952
Result for 0.45000000000000023: 0.5117704470037088
Result for 0.46000000000000024: 0.5117704470037088
Result for 0.47000000000000025: 0.5117704470037088
Result for 0.48000000000000026: 0.5110655850638306
Result for 0.49000000000000027: 0.5096535132377916
Result for 0.5000000000000002: 0.5096535132377916
Result for 0.5100000000000002: 0.5096535132377916
Result for 0.5200000000000002: 0.5096535132377916
Result for 0.5300000000000002: 0.5089462996095797
Result for 0.5400000000000003: 0.5089462996095797
Result for 0.5500000000000003: 0.5089462996095797
Result for 0.5600000000000003: 0.5082382983347369
Result for 0.5700000000000003: 0.5085470085470085
Result for 0.5800000000000003: 0.5085470085470085
Result for 0.5900000000000003: 0.5085470085470085
Result for 0.6000000000000003: 0.5085470085470085
Result for 0.6100000000000003: 0.5085470085470085
Result for 0.6200000000000003: 0.5085470085470085
Result for 0.6300000000000003: 0.5085470085470085
Result for 0.6400000000000003: 0.5085470085470085
Result for 0.6500000000000004: 0.5085470085470085
Result for 0.6600000000000004: 0.5085470085470085
Result for 0.6700000000000004: 0.5085470085470085
Result for 0.6800000000000004: 0.5088557563667027
Result for 0.6900000000000004: 0.5088557563667027
Result for 0.7000000000000004: 0.5088557563667027
Result for 0.7100000000000004: 0.5088557563667027
Result for 0.7200000000000004: 0.5088557563667027
Result for 0.7300000000000004: 0.5088557563667027
Result for 0.7400000000000004: 0.5088557563667027
Result for 0.7500000000000004: 0.5088557563667027
Result for 0.7600000000000005: 0.5088557563667027
Result for 0.7700000000000005: 0.5088557563667027
Result for 0.7800000000000005: 0.5088557563667027
Result for 0.7900000000000005: 0.5091645422428868
Result for 0.8000000000000005: 0.5091645422428868
Result for 0.8100000000000005: 0.5091645422428868
Result for 0.8200000000000005: 0.5091645422428868
Result for 0.8300000000000005: 0.5091645422428868
Result for 0.8400000000000005: 0.5091645422428868
Result for 0.8500000000000005: 0.5091645422428868
Result for 0.8600000000000005: 0.5091645422428868
Result for 0.8700000000000006: 0.5091645422428868
Result for 0.8800000000000006: 0.5091645422428868
Result for 0.8900000000000006: 0.5091645422428868
Result for 0.9000000000000006: 0.5091645422428868
Result for 0.9100000000000006: 0.5091645422428868
Result for 0.9200000000000006: 0.5091645422428868
Result for 0.9300000000000006: 0.5091645422428868
Result for 0.9400000000000006: 0.5091645422428868
Result for 0.9500000000000006: 0.5091645422428868
Result for 0.9600000000000006: 0.5091645422428868
Result for 0.9700000000000006: 0.5091645422428868
Result for 0.9800000000000006: 0.5091645422428868
Result for 0.9900000000000007: 0.5091645422428868

Best performing treshold: 0.10999999999999999
Best result: 0.5659434102222554
