Log for W2VWikiIterationNoHyp of discriminative attribute detection model
logged on 21/02/2018 01:36:38
-------------------------------------------------------------------------------
Result for 0.0: 0.5088836496384527
Result for 0.01: 0.5157566929529358
Result for 0.02: 0.5234408262770027
Result for 0.03: 0.5259135515232014
Result for 0.04: 0.5332752567250073
Result for 0.05: 0.5360613140920005
Result for 0.060000000000000005: 0.5367488867393768
Result for 0.07: 0.539509688180533
Result for 0.08: 0.5399042781489984
Result for 0.09: 0.5398573327185441
Result for 0.09999999999999999: 0.5425596402274631
Result for 0.10999999999999999: 0.5438958391662007
Result for 0.11999999999999998: 0.5470226384770983
Result for 0.12999999999999998: 0.5424620056781018
Result for 0.13999999999999999: 0.5430756455070394
Result for 0.15: 0.5432661925738742
Result for 0.16: 0.5444163043527876
Result for 0.17: 0.5467709548679789
Result for 0.18000000000000002: 0.5423109656301146
Result for 0.19000000000000003: 0.5409697454842591
Result for 0.20000000000000004: 0.5385446325900989
Result for 0.21000000000000005: 0.5375000000000001
Result for 0.22000000000000006: 0.5363624430463035
Result for 0.23000000000000007: 0.537813239124577
Result for 0.24000000000000007: 0.5391464967276755
Result for 0.25000000000000006: 0.5404948684281043
Result for 0.26000000000000006: 0.5372316916239807
Result for 0.2700000000000001: 0.5352428406127606
Result for 0.2800000000000001: 0.5342305511017725
Result for 0.2900000000000001: 0.5338735213258675
Result for 0.3000000000000001: 0.5331865297111974
Result for 0.3100000000000001: 0.5314743759240728
Result for 0.3200000000000001: 0.5297434667945337
Result for 0.3300000000000001: 0.5273534749653038
Result for 0.34000000000000014: 0.526673856333539
Result for 0.35000000000000014: 0.5249493269441606
Result for 0.36000000000000015: 0.5239009028535105
Result for 0.37000000000000016: 0.5225308641975308
Result for 0.38000000000000017: 0.5227958880161018
Result for 0.3900000000000002: 0.5206713286713287
Result for 0.4000000000000002: 0.5199797489236773
Result for 0.4100000000000002: 0.5206106982051606
Result for 0.4200000000000002: 0.520926235139662
Result for 0.4300000000000002: 0.520548063385142
Result for 0.4400000000000002: 0.5198535572120894
Result for 0.45000000000000023: 0.517381412149477
Result for 0.46000000000000024: 0.517381412149477
Result for 0.47000000000000025: 0.5176949224977296
Result for 0.48000000000000026: 0.516995887337986
Result for 0.49000000000000027: 0.5155955102115058
Result for 0.5000000000000002: 0.5141920451038657
Result for 0.5100000000000002: 0.5120810251779244
Result for 0.5200000000000002: 0.5113757918426317
Result for 0.5300000000000002: 0.5113757918426317
Result for 0.5400000000000003: 0.5113757918426317
Result for 0.5500000000000003: 0.5109796482654407
Result for 0.5600000000000003: 0.5109796482654407
Result for 0.5700000000000003: 0.5102724729021217
Result for 0.5800000000000003: 0.5102724729021217
Result for 0.5900000000000003: 0.5095645095645096
Result for 0.6000000000000003: 0.5095645095645096
Result for 0.6100000000000003: 0.5095645095645096
Result for 0.6200000000000003: 0.5095645095645096
Result for 0.6300000000000003: 0.5088557563667027
Result for 0.6400000000000003: 0.5088557563667027
Result for 0.6500000000000004: 0.5088557563667027
Result for 0.6600000000000004: 0.5088557563667027
Result for 0.6700000000000004: 0.5088557563667027
Result for 0.6800000000000004: 0.5088557563667027
Result for 0.6900000000000004: 0.5088557563667027
Result for 0.7000000000000004: 0.5088557563667027
Result for 0.7100000000000004: 0.5088557563667027
Result for 0.7200000000000004: 0.5088557563667027
Result for 0.7300000000000004: 0.5088557563667027
Result for 0.7400000000000004: 0.5088557563667027
Result for 0.7500000000000004: 0.5088557563667027
Result for 0.7600000000000005: 0.5091645422428868
Result for 0.7700000000000005: 0.5091645422428868
Result for 0.7800000000000005: 0.5091645422428868
Result for 0.7900000000000005: 0.5091645422428868
Result for 0.8000000000000005: 0.5091645422428868
Result for 0.8100000000000005: 0.5091645422428868
Result for 0.8200000000000005: 0.5091645422428868
Result for 0.8300000000000005: 0.5091645422428868
Result for 0.8400000000000005: 0.5091645422428868
Result for 0.8500000000000005: 0.5091645422428868
Result for 0.8600000000000005: 0.5091645422428868
Result for 0.8700000000000006: 0.5091645422428868
Result for 0.8800000000000006: 0.5091645422428868
Result for 0.8900000000000006: 0.5091645422428868
Result for 0.9000000000000006: 0.5091645422428868
Result for 0.9100000000000006: 0.5091645422428868
Result for 0.9200000000000006: 0.5091645422428868
Result for 0.9300000000000006: 0.5091645422428868
Result for 0.9400000000000006: 0.5091645422428868
Result for 0.9500000000000006: 0.5091645422428868
Result for 0.9600000000000006: 0.5091645422428868
Result for 0.9700000000000006: 0.5091645422428868
Result for 0.9800000000000006: 0.5091645422428868
Result for 0.9900000000000007: 0.5091645422428868

Best performing treshold: 0.11999999999999998
Best result: 0.5470226384770983
